family,role,category,pos,n,resistance,median
llama,superego,death,0,500,0.04488440045024625,-0.524834644046271
llama,superego,death,1,500,-4.301001408852443,-5.326348804714303
llama,superego,death,2,500,0.1300735273893295,-0.10602867644543254
llama,superego,death,3,500,0.036593611522521795,0.11417760517981286
llama,superego,death,4,500,0.07665217781202825,0.15479060915667459
llama,superego,death,5,500,-0.04510910380128758,-0.09016768572421284
llama,superego,death,6,500,-0.14377811496065004,-0.15902284074985187
llama,superego,death,7,500,-0.052779664314809585,-0.0570886032665378
llama,superego,death,8,500,0.06287767420361969,-0.08174003250089355
llama,superego,death,9,500,-0.055453971931247445,-0.05893088012441298
map-neo,superego,death,0,500,17.2284090620485,16.7418590837077
map-neo,superego,death,1,499,8.140685878791198,8.012402263857807
map-neo,superego,death,2,498,5.1331070426992484,3.469302456954102
map-neo,superego,death,3,498,5.635320437533697,3.0617049208395435
map-neo,superego,death,4,498,2.5663463659581303,1.5052659835713222
map-neo,superego,death,5,498,3.1828640447603305,1.9476899982006055
map-neo,superego,death,6,498,3.3297696132750474,1.3120103825560125
map-neo,superego,death,7,498,3.017729551497274,1.1771869997007092
map-neo,superego,death,8,488,3.0388600754077317,1.4135412200242081
map-neo,superego,death,9,428,2.442510471454871,0.774185836049033
minicpm,superego,death,0,500,-0.03460707145624673,-0.03434732804690621
minicpm,superego,death,1,500,-0.06523114603526406,-0.04113729017184051
minicpm,superego,death,2,500,-0.0540077084034542,-0.05020463231784549
minicpm,superego,death,3,500,-0.03733695875731379,-0.03383017943379992
minicpm,superego,death,4,500,-0.10634433644504297,-0.013928984655068947
minicpm,superego,death,5,500,-0.001669842985372546,-0.00346056209896479
minicpm,superego,death,6,500,-0.020232343986181085,-0.00870062210204416
minicpm,superego,death,7,500,-0.027296862941501743,-0.02926395527438746
minicpm,superego,death,8,500,-0.007776272517485814,-0.015461618130084167
minicpm,superego,death,9,500,-0.016445116797605908,-0.017846783706625187
olmo,superego,death,0,1000,1.2401184502531304,-0.00211736726909444
olmo,superego,death,1,1000,-0.6296321142667719,-0.017059078417867916
olmo,superego,death,2,1000,0.2938842471146516,-0.02281500109011409
olmo,superego,death,3,1000,0.2954510582064383,-0.03289224410185003
olmo,superego,death,4,1000,0.44606220631366356,0.03473828136096983
olmo,superego,death,5,1000,0.24318592452552373,-0.012922322818784927
olmo,superego,death,6,1000,0.09935154020054816,-0.007271425462255467
olmo,superego,death,7,1000,0.3349949255553157,0.016255027670958832
olmo,superego,death,8,1000,0.2582166730391177,0.0006551142454976566
olmo,superego,death,9,990,0.19290034597335756,0.04944283024045336
olmo-hybrid,superego,death,0,500,-0.02360053595983651,-0.05267178223548117
olmo-hybrid,superego,death,1,500,-0.07253825382070771,-0.03855842714105605
olmo-hybrid,superego,death,2,500,-0.041675601832432484,-0.040151559526792543
olmo-hybrid,superego,death,3,500,-0.12692338660582628,-0.10449944450271222
olmo-hybrid,superego,death,4,500,-0.08278751947068747,-0.03386724430100898
olmo-hybrid,superego,death,5,500,-0.09017809590617047,-0.0566505868569138
olmo-hybrid,superego,death,6,500,-0.07281602729506752,-0.04262222383766995
olmo-hybrid,superego,death,7,500,-0.059575716768410836,-0.0538320613325587
olmo-hybrid,superego,death,8,500,-0.04915165656398766,-0.030466132133489695
olmo-hybrid,superego,death,9,500,-0.03099629259258568,-0.025121770139286115
olmo-tiny,superego,death,0,1000,0.08969789290452881,0.31860303082402586
olmo-tiny,superego,death,1,1000,-0.3985474498676161,0.10301080882970184
olmo-tiny,superego,death,2,1000,-0.19518125090949376,-0.11680914128620311
olmo-tiny,superego,death,3,1000,0.24609133600029337,0.12865842916336415
olmo-tiny,superego,death,4,1000,0.2295606835978874,0.11102543092275123
olmo-tiny,superego,death,5,1000,0.03703393779963941,-0.011970935801715134
olmo-tiny,superego,death,6,1000,0.22183773475946786,-0.0072517443968259905
olmo-tiny,superego,death,7,1000,0.1020997604542079,-4.1964642264069e-05
olmo-tiny,superego,death,8,1000,0.14635418095892141,0.013705100368104118
olmo-tiny,superego,death,9,1000,0.15810904233671402,0.013215683560721548
