family,role,category,pos,n,resistance,median
ct-llm,ego,institutional,9,2400,0.03310598671642343,0.014646589548527468
map-neo,ego,institutional,0,2400,17.338972728568635,17.253297157802315
map-neo,ego,institutional,1,2400,7.295290087499224,7.791469385326146
map-neo,ego,institutional,2,2400,4.8093001126239265,3.503834522579837
map-neo,ego,institutional,3,2400,4.544541538992238,3.190780953998849
map-neo,ego,institutional,4,2400,3.478358194401461,1.5134112943896016
map-neo,ego,institutional,5,2400,2.8000338707000276,1.5608730771542008
map-neo,ego,institutional,6,2400,2.391214402510298,0.9572394314729208
map-neo,ego,institutional,7,2400,2.8922591038311705,1.212703870668468
map-neo,ego,institutional,8,2391,2.2903172044711564,0.7881988869718555
map-neo,ego,institutional,9,2252,1.7822983656344618,0.45993102490168725
minicpm,ego,institutional,0,2400,0.1160880351018141,0.093593554870937
minicpm,ego,institutional,1,2400,0.0564616360580503,0.044712582967151845
minicpm,ego,institutional,2,2400,0.10634997476304284,0.04916744495179755
minicpm,ego,institutional,3,2400,0.044002124409260136,0.014278755949899831
minicpm,ego,institutional,4,2400,0.03494308498828481,0.012193870630644458
minicpm,ego,institutional,5,2400,0.057072961240860136,0.020189189727242672
minicpm,ego,institutional,6,2400,0.05237993088091025,0.015868102234259367
minicpm,ego,institutional,7,2400,0.0450330412778914,0.01813268954638577
minicpm,ego,institutional,8,2399,0.054902449744062255,0.01891283455487981
minicpm,ego,institutional,9,2397,0.03801463112658278,0.016954920070068623
olmo,ego,institutional,0,4800,-0.2966783129553324,0.1698609439622216
olmo,ego,institutional,1,4800,0.7768895374834733,0.38725467439831684
olmo,ego,institutional,2,4800,0.32943992617959067,0.17549977511292852
olmo,ego,institutional,3,4800,0.4204745698261243,0.1889470950594476
olmo,ego,institutional,4,4800,0.35599758566972806,0.09492052722986678
olmo,ego,institutional,5,4800,0.35996024500618706,0.06250916874183841
olmo,ego,institutional,6,4800,0.26134042900181725,0.06084498711113247
olmo,ego,institutional,7,4800,0.2790635774170692,0.07195865721482625
olmo,ego,institutional,8,4800,0.20128047104206812,0.04009350762457776
olmo,ego,institutional,9,4799,0.22334667110099116,0.03472436918339114
olmo-hybrid,ego,institutional,0,2400,0.20828293289888386,0.16515239977254317
olmo-hybrid,ego,institutional,1,2400,0.14745128332873142,0.08650630912100049
olmo-hybrid,ego,institutional,2,2400,0.11870966256929383,0.03836162310903647
olmo-hybrid,ego,institutional,3,2400,0.19623433852278815,0.1382124250730166
olmo-hybrid,ego,institutional,4,2400,0.1436205990103364,0.07288978262099886
olmo-hybrid,ego,institutional,5,2400,0.13351739635309995,0.08809393169972782
olmo-hybrid,ego,institutional,6,2400,0.1306043863893274,0.07476943431186364
olmo-hybrid,ego,institutional,7,2400,0.13977010657502278,0.07125526423471376
olmo-hybrid,ego,institutional,8,2400,0.12183910260863567,0.05046233826080755
olmo-hybrid,ego,institutional,9,2400,0.12397379605102296,0.05391430608240454
olmo-tiny,ego,institutional,0,4800,0.7392898115433749,0.5470862209937706
olmo-tiny,ego,institutional,1,4800,-0.43083327675144617,0.000616534878739752
olmo-tiny,ego,institutional,2,4800,0.2803021076611686,0.11594527408938601
olmo-tiny,ego,institutional,3,4800,0.20264165727461753,0.03973037880239406
olmo-tiny,ego,institutional,4,4800,0.28420192968677666,0.07387508582335182
olmo-tiny,ego,institutional,5,4800,0.282168149667838,0.06829870039507992
olmo-tiny,ego,institutional,6,4800,0.2026948577921771,0.06662090606953974
olmo-tiny,ego,institutional,7,4800,0.1818433570756002,0.050367347932793224
