f1,f2,js_base,js_aligned
olmo,zephyr,0.6727553606033325,0.6666878461837769
olmo-tiny,pythia,0.6803865432739258,0.6812117099761963
olmo-tiny,qwen,0.6133259534835815,0.6513378620147705
olmo-tiny,qwen-tiny,0.6220299601554871,0.6563278436660767
olmo-tiny,smol,0.6791657209396362,0.6798766255378723
olmo-tiny,tulu,0.08430157601833344,0.1566496193408966
olmo-tiny,zephyr,0.675049901008606,0.6775356531143188
pythia,qwen,0.6630716323852539,0.6707530617713928
pythia,qwen-tiny,0.6734793186187744,0.6741123199462891
pythia,smol,0.6779232025146484,0.6809560060501099
pythia,tulu,0.6806162595748901,0.6837968230247498
pythia,zephyr,0.6754317879676819,0.6799423694610596
qwen,qwen-tiny,0.2047950029373169,0.34828683733940125
qwen,smol,0.6747012138366699,0.6842690706253052
qwen,tulu,0.6243289113044739,0.6457054615020752
qwen,zephyr,0.6567792892456055,0.6705470681190491
qwen-tiny,smol,0.6756231784820557,0.6762666702270508
qwen-tiny,tulu,0.6307746171951294,0.6574029326438904
qwen-tiny,zephyr,0.6650969982147217,0.6670244336128235
smol,tulu,0.6795372366905212,0.6822696328163147
smol,zephyr,0.6728395223617554,0.6628619432449341
tulu,zephyr,0.6755831837654114,0.6776766180992126
amber,deepseek-7b,0.5547677278518677,0.5491337180137634
amber,llama,0.6259979605674744,0.6370642185211182
amber,olmo,0.6193550825119019,0.6322423815727234
amber,olmo-tiny,0.6382278203964233,0.6393675804138184
amber,pythia,0.6576878428459167,0.6763601899147034
amber,qwen,0.6476948857307434,0.6696281433105469
amber,qwen-tiny,0.6228069067001343,0.6367393136024475
amber,smol,0.6497577428817749,0.6580327153205872
amber,tulu,0.6259979605674744,0.6279631853103638
amber,zephyr,0.6709752082824707,0.6839526891708374
deepseek-7b,llama,0.6690115928649902,0.6721988916397095
deepseek-7b,olmo,0.6705195903778076,0.6743602752685547
deepseek-7b,olmo-tiny,0.6706528067588806,0.6787818074226379
deepseek-7b,pythia,0.6219079494476318,0.618248701095581
deepseek-7b,qwen,0.6782284379005432,0.685802698135376
deepseek-7b,qwen-tiny,0.6688426733016968,0.6730313301086426
deepseek-7b,smol,0.6185721158981323,0.615071177482605
deepseek-7b,tulu,0.6690115928649902,0.6775022745132446
deepseek-7b,zephyr,0.5557237267494202,0.5409412980079651
llama,olmo,0.06696486473083496,0.2753934860229492
llama,olmo-tiny,0.05726127699017525,0.14773227274417877
llama,pythia,0.6395375728607178,0.6413693428039551
llama,qwen,0.6553415060043335,0.6705410480499268
llama,qwen-tiny,0.6303157210350037,0.6349058151245117
llama,smol,0.6370466947555542,0.6402803063392639
llama,tulu,0.0,0.05305034667253494
llama,zephyr,0.6268231868743896,0.6276621222496033
olmo,olmo-tiny,0.0911044031381607,0.28684040904045105
olmo,pythia,0.6363825798034668,0.6307132840156555
olmo,qwen,0.6586335897445679,0.6756590604782104
olmo,qwen-tiny,0.6393674612045288,0.6482498049736023
olmo,smol,0.6357669830322266,0.6306638121604919
olmo,tulu,0.06696486473083496,0.30222973227500916
olmo,zephyr,0.6201684474945068,0.6269629597663879
olmo-tiny,pythia,0.6500706672668457,0.6476117968559265
olmo-tiny,qwen,0.6567704081535339,0.6704756617546082
olmo-tiny,qwen-tiny,0.6306920051574707,0.6319301724433899
olmo-tiny,smol,0.6526981592178345,0.6476665735244751
olmo-tiny,tulu,0.05726127699017525,0.13079309463500977
