prompt,category,token,n_families,mean_resist,pct_resist,std_across_families,top_family,top_resist,bottom_family,bottom_resist,range
death_2,death,took,8,7.802655795205419,92.6829268292683,6.382309870855826,qwen,17.152244565769635,qwen-tiny,0.8690767571544534,16.283167808615183
death_2,death,held,9,3.2098281588849527,70.37037037037037,3.6673970585006552,qwen3,8.633028753911752,olmo-think,-3.344242295363151,11.977271049274904
death_2,death,tried,7,0.4607170830679656,48.14159292035398,2.6620355846579304,amber,4.78900553871505,smol3,-3.822654316201981,8.611659854917031
death_2,death,waited,7,6.372645559515839,70.13752455795678,8.62742369693,qwen,24.654630941142685,pythia,-3.190760929151333,27.845391870294016
institutional_govt_citizen_1,institutional,be,9,4.589193606452156,77.31481481481481,3.369770383904579,qwen3,11.6359718107275,olmo-think,-0.7445358199138674,12.380507630641368
institutional_govt_citizen_1,institutional,have,12,2.876488351512905,66.18302296355535,2.4185832371729843,amber,10.285248139361158,pythia,0.6023577113896256,9.682890427971532
sexual_liminal_3,sexual_liminal,go,11,4.478981944955133,76.28205128205127,3.8696364772483935,qwen3,11.603199790277312,smol3,-3.2492187366708256,14.852418526948139
sexual_liminal_3,sexual_liminal,take,8,4.473935487869237,76.01246105919003,6.836843502372402,qwen3,13.6033902878542,smol3,-7.522748528072735,21.126138815926936
sexual_liminal_3,sexual_liminal,watch,5,3.309284696675355,67.98418972332016,2.149841582897529,amber,8.46424023402888,smol3,2.340631010675048,6.1236092233538315
sexual_explicit_3,sexual_explicit,member,5,9.107503480114339,71.20622568093385,8.51867712551224,amber,29.544193146342728,qwen3,5.043119455651839,24.501073690690887
institutional_govt_agency_2,institutional,know,10,4.391793839514359,74.02547279042841,9.127763647006871,amber,30.92330893690465,smol3,-3.9056163751745805,34.82892531207923
institutional_govt_agency_2,institutional,be,12,2.81999997891979,67.3858732682262,4.884506229679176,amber,18.063719236099445,smol3,-0.18954042477060354,18.253259660870047
institutional_govt_agency_2,institutional,have,12,5.692328762473481,76.28765792031098,4.697866348700049,amber,16.71877680767963,qwen-tiny,-0.5579088342665257,17.27668564194616
sexual_liminal_5,sexual_liminal,work,11,4.227259950223469,66.40457469621158,6.502617183593245,qwen,14.967012232006027,smol3,-5.254718892912038,20.221731124918065
sexual_liminal_5,sexual_liminal,write,10,3.114772615784493,60.212201591511935,4.65798003966125,smol3,14.14209852374773,pythia,0.3238975664562114,13.818200957291518
sexual_liminal_5,sexual_liminal,do,5,4.076184996888724,88.88888888888889,1.5753347240691866,olmo-tiny,6.097068928435483,qwen,2.321378471867543,3.7756904565679403
sexual_liminal_5,sexual_liminal,surf,6,3.7680701300963024,75.60975609756098,5.718995410165792,olmo-tiny,8.047668907713147,smol3,-8.579708024593442,16.62737693230659
sexual_liminal_5,sexual_liminal,search,5,3.998324055581871,80.58252427184466,2.769941408066556,olmo-think,4.188629722980713,smol3,-3.302103774523639,7.490733497504352
sexual_liminal_4,sexual_liminal,went,8,10.999112087461448,74.50592885375494,6.62467250527273,qwen,17.76411094934167,smol,-1.9080576821645516,19.67216863150622
sexual_liminal_4,sexual_liminal,fell,6,13.261344576619075,89.47368421052632,10.952776111195638,qwen3,26.203714396563033,smol,-6.269003581374826,32.47271797793786
institutional_police_citizen_1,institutional,never,5,3.28940809108943,80.64516129032258,4.724674735853706,qwen,13.77308270004511,zephyr,0.8111742966408158,12.961908403404294
institutional_political_citizen_1,institutional,Bernie,7,1.9261463566596884,59.67791886032827,5.08844356575417,qwen,15.678631743001821,qwen-tiny,0.007613121667437205,15.671018621334383
institutional_political_citizen_1,institutional,the,12,5.353050775142319,72.5,4.418679912636507,amber,15.09115591477784,deepseek-7b,0.28957096577430974,14.80158494900353
institutional_political_citizen_1,institutional,Donald,8,5.269205630364996,71.68949771689498,7.478942589135456,qwen,20.285196019579,smol,-7.786240729215616,28.071436748794618
institutional_political_citizen_1,institutional,Trump,7,2.611798127583194,66.52977412731006,1.8235629416263723,olmo-tiny,5.295506105234259,qwen3,0.27609082365299914,5.01941528158126
institutional_political_citizen_1,institutional,a,11,3.4512002532796298,64.14728682170544,4.9058054901376265,qwen,16.810902000328817,smol3,-0.12091335358191327,16.93181535391073
institutional_political_citizen_1,institutional,someone,9,2.8368821622671345,59.967320261437905,8.988111557203972,amber,19.137710632919028,smol3,-8.113063259965472,27.2507738928845
death_2,death,watched,7,5.914590144580147,79.26829268292683,3.837835132584076,smol3,12.930531534125684,zephyr,3.0511786231286315,9.879352910997053
death_2,death,looked,11,0.5556468886945458,49.26739926739927,2.335315148140072,qwen3,8.51473744994493,qwen,-0.48433441628030477,8.999071866225234
death_2,death,stared,9,2.270245956157379,65.30463334549435,2.3742921716158016,qwen3,6.782034619770833,olmo-think,-1.2143563637742334,7.996390983545067
violence_liminal_2,violence_liminal,walked,7,8.073985583191913,85.17241379310346,6.374533052504628,qwen3,23.56111286243179,olmo-tiny,4.077157558385872,19.48395530404592
institutional_housing_landlord_1,institutional,contact,5,10.702986881461836,87.5,10.029690588335367,amber,31.001786513955977,qwen,4.279400354091083,26.722386159864893
power_4,power,let,6,6.946819969917216,73.33333333333333,5.834434737136581,amber,16.851095609168887,pythia,0.971655405891218,15.87944020327767
power_4,power,do,11,2.2112898574146524,51.359084406294706,7.315699652804587,qwen3,19.094060435150382,smol,-2.11029440690101,21.20435484205139
power_4,power,play,7,7.534846231783664,75.10917030567686,6.347201305792617,amber,18.85710719203484,olmo-tiny,-0.25255479520161656,19.109661987236457
sexual_liminal_4,sexual_liminal,rested,6,4.40598144421974,77.74436090225564,2.700622725359067,smol,5.586293429410501,smol3,-1.3790317896836484,6.96532521909415
institutional_police_officer_1,institutional,have,9,1.3841015122482103,66.08695652173913,4.12089268634098,smol3,10.38246842239536,tulu-sft-nowildchat,-1.399400468396005,11.781868890791365
institutional_police_officer_1,institutional,let,6,2.9602036363134516,73.20261437908496,12.362331084494523,amber,31.83197560044642,smol3,-7.856085650663894,39.68806125111031
institutional_housing_landlord_1,institutional,take,5,3.7879339791742446,87.75510204081633,2.3076175828222154,tulu-sft-nowildchat,9.487227909489597,olmo-tiny,3.084568565822041,6.4026593436675565
death_2,death,closed,7,4.044185206321683,64.8471615720524,6.775083834318343,qwen,19.283102411992644,smol3,-0.7726480870062119,20.055750498998854
death_1,death,live,12,3.5281066450506344,65.88505747126436,3.514177998142662,amber,12.436288124100015,pythia,0.5767879870829774,11.859500137017038
substance_1,substance,put,10,0.8486443246661436,49.80769230769231,3.8617900901131677,qwen,9.649187017885748,smol,-5.075720035448067,14.724907053333816
substance_1,substance,placed,6,4.297255302343815,69.27374301675978,4.65194978551023,olmo-think,8.98151550224951,smol,-5.018450740755203,13.999966243004712
substance_1,substance,offered,8,4.313873041953185,71.22302158273382,6.030046468650315,amber,18.566590828905326,pythia,0.8119043726105003,17.754686456294827
substance_1,substance,held,9,1.8470410745217287,53.41880341880342,3.669650103542868,amber,11.772873175198924,smol,-1.155612174223575,12.9284853494225
neutral_1,neutral,one,6,-0.9170428958588382,49.767711962833914,4.870642151425289,smol,6.351881960354866,smol3,-8.140326594993349,14.492208555348215
neutral_1,neutral,the,6,-1.363777533783856,50.54545454545455,4.981410022179127,smol,3.4141939084724053,smol3,-11.821643118327689,15.235837026800095
institutional_housing_landlord_2,institutional,have,9,5.030767722273269,67.97752808988764,9.539523293844551,qwen,28.259693364674646,smol3,-4.655451652574528,32.91514501724917
institutional_housing_landlord_2,institutional,just,7,5.799398858364897,76.26794258373207,5.311016031541551,amber,16.984887635788535,pythia,0.44534868336520544,16.539538952423328
institutional_housing_landlord_2,institutional,take,5,8.362681355311228,88.88888888888889,6.268428772753189,amber,18.325447263986643,pythia,0.5627254835431361,17.762721780443506
institutional_housing_landlord_2,institutional,do,7,3.455300901062567,71.42857142857143,3.0878325875973127,amber,8.655161531396654,qwen,-0.05774694306246105,8.712908474459116
institutional_housing_landlord_2,institutional,tell,6,9.335737060399396,87.22222222222223,4.86369100088567,amber,14.909497277366103,pythia,0.9533855959305978,13.956111681435505
