family,side,prompt_key,base_entropy,base_top1,base_eff_vocab,aligned_entropy,aligned_top1,aligned_eff_vocab
pythia,individual,institutional_housing_tenant_2,3.4932236671447754,0.26005667448043823,70,3.1408138275146484,0.3314332962036133,59
pythia,institution,institutional_housing_landlord_2,4.297798156738281,0.15241725742816925,93,4.104595184326172,0.14261654019355774,92
pythia,individual,institutional_medical_patient_1,1.9075870513916016,0.6440387964248657,32,1.99619460105896,0.6086171269416809,28
pythia,institution,institutional_medical_doctor_1,4.4546217918396,0.15243929624557495,108,4.473804473876953,0.15918205678462982,114
pythia,individual,institutional_police_citizen_1,2.3545145988464355,0.5104978084564209,35,2.2627182006835938,0.4704182744026184,30
pythia,institution,institutional_police_officer_1,2.6576759815216064,0.4547855257987976,50,2.2732813358306885,0.5257688760757446,40
pythia,individual,institutional_govt_citizen_1,1.8910025358200073,0.5513131022453308,28,1.7701070308685303,0.5303716659545898,20
pythia,institution,institutional_govt_agency_1,3.9298133850097656,0.17442552745342255,68,3.61662220954895,0.25175735354423523,63
pythia,individual,institutional_govt_citizen_2,3.624303102493286,0.23433521389961243,82,3.518418312072754,0.22239448130130768,75
pythia,institution,institutional_govt_agency_2,3.5401129722595215,0.2565133571624756,68,3.308176040649414,0.24123038351535797,67
pythia,individual,institutional_political_citizen_1,4.530869483947754,0.17355194687843323,87,3.9938735961914062,0.20169061422348022,71
pythia,institution,institutional_political_party_1,4.110023021697998,0.23584026098251343,112,4.005910396575928,0.24473650753498077,107
qwen,individual,institutional_labor_worker_1,2.037055730819702,0.586315393447876,35,2.1249592304229736,0.5679154992103577,43
qwen,institution,institutional_labor_mgmt_1,4.695046424865723,0.1381213366985321,112,4.2452239990234375,0.10397625714540482,92
qwen,individual,institutional_labor_worker_2,4.471634387969971,0.09710605442523956,98,4.258969306945801,0.11059652268886566,94
qwen,institution,institutional_labor_mgmt_2,4.101560592651367,0.1744203418493271,90,3.935666084289551,0.1226649135351181,83
qwen,individual,institutional_labor_worker_3,3.750483274459839,0.20183482766151428,81,3.4159913063049316,0.20678356289863586,66
qwen,institution,institutional_labor_mgmt_3,3.65185284614563,0.27726826071739197,72,4.50200891494751,0.15439079701900482,123
qwen,individual,institutional_labor_worker_4,3.471235513687134,0.27323341369628906,82,3.183441400527954,0.2924145460128784,80
qwen,institution,institutional_labor_mgmt_4,4.7860236167907715,0.08293452113866806,110,3.2592813968658447,0.2533896267414093,63
qwen,individual,institutional_labor_worker_5,3.850498914718628,0.16351068019866943,71,3.040236473083496,0.2532977759838104,51
qwen,institution,institutional_labor_mgmt_5,3.3869869709014893,0.23554322123527527,53,2.9783127307891846,0.18261046707630157,42
qwen,individual,institutional_housing_tenant_1,4.004388332366943,0.14356879889965057,86,2.8539693355560303,0.31573420763015747,58
qwen,institution,institutional_housing_landlord_1,4.497220516204834,0.1826317459344864,121,4.2404913902282715,0.08361924439668655,87
qwen,individual,institutional_housing_tenant_2,3.584465980529785,0.22814030945301056,75,3.4556784629821777,0.21256192028522491,65
qwen,institution,institutional_housing_landlord_2,4.764931678771973,0.11908785998821259,117,4.060047626495361,0.1851424276828766,97
qwen,individual,institutional_medical_patient_1,2.0221896171569824,0.561898946762085,30,1.6486982107162476,0.5787489414215088,22
qwen,institution,institutional_medical_doctor_1,3.7259671688079834,0.1492358148097992,69,3.431701421737671,0.21708564460277557,63
qwen,individual,institutional_police_citizen_1,2.9748034477233887,0.3487060070037842,61,2.096736192703247,0.290727436542511,32
qwen,institution,institutional_police_officer_1,3.7088022232055664,0.22542741894721985,83,2.1739227771759033,0.4259102940559387,38
qwen,individual,institutional_govt_citizen_1,2.630113124847412,0.49442625045776367,62,3.0554897785186768,0.3137235641479492,59
qwen,institution,institutional_govt_agency_1,5.009315013885498,0.10247942805290222,141,4.614828586578369,0.135593444108963,114
qwen,individual,institutional_govt_citizen_2,4.602168560028076,0.0824771299958229,111,4.057546138763428,0.12935413420200348,80
qwen,institution,institutional_govt_agency_2,4.423658847808838,0.1761815994977951,101,3.6258063316345215,0.22751323878765106,63
qwen,individual,institutional_political_citizen_1,3.870063543319702,0.23755891621112823,81,3.386667251586914,0.2826896011829376,76
qwen,institution,institutional_political_party_1,5.428090572357178,0.05899981036782265,154,5.216338634490967,0.05993388965725899,139
qwen-tiny,individual,institutional_labor_worker_1,2.319230556488037,0.5608891844749451,37,2.809109687805176,0.48503974080085754,56
qwen-tiny,institution,institutional_labor_mgmt_1,4.663029193878174,0.18731603026390076,108,4.93524169921875,0.11868950724601746,132
qwen-tiny,individual,institutional_labor_worker_2,4.30797815322876,0.13790370523929596,99,4.674167633056641,0.09508375078439713,119
qwen-tiny,institution,institutional_labor_mgmt_2,3.74247145652771,0.2142961621284485,80,4.070652008056641,0.22509366273880005,88
qwen-tiny,individual,institutional_labor_worker_3,4.9205322265625,0.09530419111251831,131,5.07037878036499,0.05029382184147835,144
qwen-tiny,institution,institutional_labor_mgmt_3,4.3329644203186035,0.15168684720993042,94,5.315156936645508,0.09617750346660614,148
qwen-tiny,individual,institutional_labor_worker_4,3.1493611335754395,0.3923756182193756,64,3.28145694732666,0.3187670111656189,69
qwen-tiny,institution,institutional_labor_mgmt_4,4.610107421875,0.1329745054244995,121,4.7022857666015625,0.12313064187765121,118
qwen-tiny,individual,institutional_labor_worker_5,3.404221773147583,0.1649584174156189,56,2.8691892623901367,0.25756052136421204,41
qwen-tiny,institution,institutional_labor_mgmt_5,3.4826037883758545,0.12235742807388306,51,3.321305990219116,0.20974259078502655,45
qwen-tiny,individual,institutional_housing_tenant_1,3.3206825256347656,0.27699393033981323,62,4.5420098304748535,0.06550554931163788,106
qwen-tiny,institution,institutional_housing_landlord_1,3.8544254302978516,0.2514025568962097,82,4.628644943237305,0.18188253045082092,113
qwen-tiny,individual,institutional_housing_tenant_2,3.111037254333496,0.3473542630672455,55,3.5197691917419434,0.32527661323547363,67
qwen-tiny,institution,institutional_housing_landlord_2,3.784248113632202,0.2919759452342987,90,4.648880481719971,0.20674104988574982,124
qwen-tiny,individual,institutional_medical_patient_1,2.294865608215332,0.57325279712677,43,2.860072135925293,0.4515354633331299,57
qwen-tiny,institution,institutional_medical_doctor_1,5.284840106964111,0.0851740688085556,139,5.365603923797607,0.04641588404774666,149
qwen-tiny,individual,institutional_police_citizen_1,2.893425226211548,0.4737195670604706,52,2.945758104324341,0.4193476140499115,57
qwen-tiny,institution,institutional_police_officer_1,3.4347729682922363,0.27557989954948425,71,3.5398755073547363,0.2872444689273834,77
qwen-tiny,individual,institutional_govt_citizen_1,1.7187296152114868,0.6995205879211426,31,2.2211883068084717,0.5652337670326233,39
qwen-tiny,institution,institutional_govt_agency_1,3.67069149017334,0.15809905529022217,62,4.784699440002441,0.0871749147772789,124
qwen-tiny,individual,institutional_govt_citizen_2,4.97191858291626,0.06373058259487152,121,4.630143165588379,0.08278028666973114,99
qwen-tiny,institution,institutional_govt_agency_2,3.588773012161255,0.15782824158668518,59,4.116828441619873,0.247274249792099,96
qwen-tiny,individual,institutional_political_citizen_1,5.255522727966309,0.17639951407909393,94,4.369606971740723,0.23606844246387482,80
qwen-tiny,institution,institutional_political_party_1,5.456281661987305,0.05292873829603195,168,5.461035251617432,0.05929068848490715,163
smol,individual,institutional_labor_worker_1,2.4205434322357178,0.519686758518219,40,2.303515911102295,0.5448948740959167,37
smol,institution,institutional_labor_mgmt_1,4.764116287231445,0.14996019005775452,112,4.343201160430908,0.10024729371070862,93
smol,individual,institutional_labor_worker_2,3.728365659713745,0.24167990684509277,78,3.1986424922943115,0.33522945642471313,64
smol,institution,institutional_labor_mgmt_2,3.8084475994110107,0.2337232530117035,85,3.6701555252075195,0.2695157527923584,87
smol,individual,institutional_labor_worker_3,4.562455177307129,0.1674710363149643,109,4.334840297698975,0.14107269048690796,99
smol,institution,institutional_labor_mgmt_3,3.6263649463653564,0.20371384918689728,70,3.9868052005767822,0.18020330369472504,85
smol,individual,institutional_labor_worker_4,2.8675239086151123,0.30769482254981995,55,3.230203151702881,0.2616135776042938,76
smol,institution,institutional_labor_mgmt_4,4.5300469398498535,0.16955192387104034,113,4.325809001922607,0.12734204530715942,101
smol,individual,institutional_labor_worker_5,3.6424400806427,0.2220553755760193,75,3.7920641899108887,0.16154295206069946,70
smol,institution,institutional_labor_mgmt_5,3.4052011966705322,0.3023342192173004,69,3.6203348636627197,0.23728114366531372,75
smol,individual,institutional_housing_tenant_1,3.3279664516448975,0.291579931974411,68,2.689354658126831,0.32223156094551086,50
smol,institution,institutional_housing_landlord_1,3.954097270965576,0.24026107788085938,84,3.686992645263672,0.2656223773956299,77
smol,individual,institutional_housing_tenant_2,3.526779890060425,0.33352163434028625,77,2.959096670150757,0.4052227735519409,57
smol,institution,institutional_housing_landlord_2,3.559384346008301,0.3326961100101471,76,3.5976738929748535,0.3566219210624695,89
smol,individual,institutional_medical_patient_1,1.0781856775283813,0.8263014554977417,20,1.2301019430160522,0.7536095976829529,18
smol,institution,institutional_medical_doctor_1,4.767595291137695,0.15470923483371735,123,4.578723430633545,0.087892547249794,120
smol,individual,institutional_police_citizen_1,2.0233969688415527,0.6230681538581848,36,1.6560639142990112,0.5982307195663452,23
smol,institution,institutional_police_officer_1,1.8194411993026733,0.6587381958961487,33,2.699392795562744,0.5101733803749084,61
smol,individual,institutional_govt_citizen_1,1.2062315940856934,0.7865885496139526,17,0.7074562311172485,0.8651291728019714,9
smol,institution,institutional_govt_agency_1,3.686896800994873,0.12553541362285614,62,4.5414886474609375,0.07047639042139053,115
smol,individual,institutional_govt_citizen_2,3.6797919273376465,0.30988016724586487,93,3.3839833736419678,0.24871960282325745,73
smol,institution,institutional_govt_agency_2,3.80045223236084,0.1761225014925003,69,3.1947340965270996,0.2678753435611725,64
smol,individual,institutional_political_citizen_1,4.369785308837891,0.19526347517967224,85,4.088674068450928,0.22944986820220947,72
smol,institution,institutional_political_party_1,5.136535167694092,0.12895575165748596,149,5.003779411315918,0.07473330944776535,133
tulu,individual,institutional_labor_worker_1,2.7272872924804688,0.41900157928466797,45,2.0346519947052,0.5702661871910095,36
tulu,institution,institutional_labor_mgmt_1,4.77491569519043,0.0825975239276886,119,4.136141777038574,0.14642606675624847,96
tulu,individual,institutional_labor_worker_2,3.927133560180664,0.17148451507091522,77,4.188897609710693,0.11656233668327332,84
tulu,institution,institutional_labor_mgmt_2,3.5891835689544678,0.27036216855049133,74,3.435528516769409,0.17926129698753357,69
tulu,individual,institutional_labor_worker_3,4.35714864730835,0.07715941965579987,85,4.369394302368164,0.12751887738704681,105
tulu,institution,institutional_labor_mgmt_3,1.2632856369018555,0.8116906881332397,32,0.7171244621276855,0.9050040245056152,22
tulu,individual,institutional_labor_worker_4,2.7775280475616455,0.3115156590938568,46,2.8670716285705566,0.36201468110084534,59
tulu,institution,institutional_labor_mgmt_4,4.3694658279418945,0.1338009536266327,110,3.2843217849731445,0.2792102098464966,78
tulu,individual,institutional_labor_worker_5,2.9059298038482666,0.36679863929748535,55,2.369591236114502,0.5278381109237671,45
tulu,institution,institutional_labor_mgmt_5,3.3275535106658936,0.221126526594162,59,2.7871415615081787,0.35490140318870544,46
tulu,individual,institutional_housing_tenant_1,3.020717144012451,0.28470078110694885,63,2.7946667671203613,0.31244391202926636,59
tulu,institution,institutional_housing_landlord_1,3.5808160305023193,0.33924415707588196,91,4.199865818023682,0.11271534860134125,98
tulu,individual,institutional_housing_tenant_2,3.970817804336548,0.17986002564430237,88,2.9971444606781006,0.2511121332645416,60
tulu,institution,institutional_housing_landlord_2,4.231833457946777,0.15144574642181396,99,3.509843349456787,0.18153049051761627,69
tulu,individual,institutional_medical_patient_1,2.3953781127929688,0.5211089849472046,49,1.9932329654693604,0.5259521007537842,30
tulu,institution,institutional_medical_doctor_1,4.428635120391846,0.18936042487621307,115,4.1334357261657715,0.14116376638412476,103
tulu,individual,institutional_police_citizen_1,2.6095504760742188,0.23081785440444946,40,2.140195369720459,0.33114904165267944,32
tulu,institution,institutional_police_officer_1,4.286562442779541,0.08962488174438477,91,2.1207592487335205,0.44279399514198303,34
tulu,individual,institutional_govt_citizen_1,1.6919662952423096,0.573119044303894,17,1.4721755981445312,0.5588271617889404,15
tulu,institution,institutional_govt_agency_1,3.3965368270874023,0.23042736947536469,56,2.3017287254333496,0.48481860756874084,36
tulu,individual,institutional_govt_citizen_2,3.337993621826172,0.2670946419239044,75,2.40433406829834,0.41193634271621704,44
