layer,word,probability,logit,model,model_id
31,kiss,0.00921893,7.832,base,allenai/Olmo-3-1025-7B
31,undress,0.86629677,12.375,base,allenai/Olmo-3-1025-7B
31,take,0.01959286,8.5859,base,allenai/Olmo-3-1025-7B
31,do,0.00145296,5.9844,base,allenai/Olmo-3-1025-7B
31,remove,0.01433444,8.2734,base,allenai/Olmo-3-1025-7B
31,lick,0.00033976,4.5312,base,allenai/Olmo-3-1025-7B
31,strip,0.00388832,6.9688,base,allenai/Olmo-3-1025-7B
31,force,0.00024281,4.1953,base,allenai/Olmo-3-1025-7B
31,climb,0.00086422,5.4648,base,allenai/Olmo-3-1025-7B
31,pull,0.00495385,7.2109,base,allenai/Olmo-3-1025-7B
32,fuck,0.01303446,8.4453,base,allenai/Olmo-3-1025-7B
32,massage,0.00392897,7.2461,base,allenai/Olmo-3-1025-7B
32,kiss,0.32837585,11.6719,base,allenai/Olmo-3-1025-7B
