family,pair,layer,prompt,pole1_mass,pole2_mass,blend_mass,in_frame,remainder
qwen,pleasure/pain,base,AB,0.05356077315661877,0.06819523785320201,0.03649808848363935,0.15825409949346014,0.8417459005065399
qwen,pleasure/pain,dpo,A,0.027825467217859418,0.012155288094029394,0.13176629006153578,0.1717470453734246,0.8282529546265753
qwen,pleasure/pain,dpo,B,0.0009463322196909428,0.12081151662587149,0.042893266078120974,0.1646511149236834,0.8353488850763167
qwen,pleasure/pain,dpo,AB,0.018537896621212094,0.02227595522268169,0.010918877521937962,0.051732729365831745,0.9482672706341683
tulu,love/hate,base,A,0.4078978918310064,0.007789940288976953,0.07420950444150799,0.4898973365614913,0.5101026634385086
tulu,love/hate,base,B,0.0505913271990588,0.29287570002522245,0.06473567355859916,0.4082027007828804,0.5917972992171197
tulu,love/hate,base,AB,0.21311818576736885,0.26570841383250987,0.06029799294883978,0.5391245925487185,0.4608754074512815
tulu,love/hate,sft,A,0.38436473854989717,0.005593146378639452,0.096549011154139,0.4865068960826756,0.5134931039173244
tulu,love/hate,sft,B,0.03922483367092012,0.2457470304782391,0.08352046704415224,0.36849233119331143,0.6315076688066885
tulu,love/hate,sft,AB,0.2215401555481192,0.24083799992766847,0.06216505135796464,0.5245432068337523,0.47545679316624767
tulu,love/hate,dpo,A,0.35877055313596135,0.004985395274879625,0.1137429324339132,0.47749888084475417,0.5225011191552458
tulu,love/hate,dpo,B,0.025139791867634962,0.2437773767427341,0.11591426092619558,0.3848314295365647,0.6151685704634353
tulu,love/hate,dpo,AB,0.13903582299073775,0.3444240065742613,0.053053326832107936,0.536513156397107,0.46348684360289305
tulu,love/hate,rlvr,A,0.34559461845615164,0.005336251648176554,0.10162631120278995,0.4525571813071182,0.5474428186928818
tulu,love/hate,rlvr,B,0.027479276053505374,0.22806723723410807,0.10503520116215112,0.3605817144497646,0.6394182855502354
tulu,love/hate,rlvr,AB,0.1530401893524852,0.31611775481254367,0.0480170168394799,0.5171749610045088,0.48282503899549123
tulu,trust/fear,base,A,0.2672088969664504,0.04140843339612269,0.12007309089798215,0.42869042126055523,0.5713095787394448
tulu,trust/fear,base,B,0.08553162656952687,0.253055547857784,0.13575705854094985,0.4743442329682608,0.5256557670317392
tulu,trust/fear,base,AB,0.1669833941992256,0.10897804943147896,0.13519740122328183,0.41115884485398635,0.5888411551460137
tulu,trust/fear,sft,A,0.3169681598464302,0.043159900377740985,0.11969432117691123,0.47982238140108235,0.5201776185989176
tulu,trust/fear,sft,B,0.07420946918200003,0.3133058615282105,0.13701988347539154,0.524535214185602,0.475464785814398
tulu,trust/fear,sft,AB,0.17152993884712148,0.15581273935763612,0.12944423321863527,0.4567869114233929,0.5432130885766071
tulu,trust/fear,dpo,A,0.35610412375043077,0.040057617527662376,0.09734990721164635,0.4935116484897395,0.5064883515102605
tulu,trust/fear,dpo,B,0.058483264859256624,0.4616792354454029,0.14028242381292633,0.6604449241175858,0.3395550758824142
tulu,trust/fear,dpo,AB,0.20509173791724497,0.19354925390695538,0.10678912732661063,0.5054301191508109,0.49456988084918907
tulu,trust/fear,rlvr,A,0.3313798307991558,0.04213933919596696,0.09225054331994036,0.4657697133150631,0.5342302866849369
tulu,trust/fear,rlvr,B,0.06648554903530557,0.4432900092089348,0.12792296053029165,0.637698518774532,0.362301481225468
tulu,trust/fear,rlvr,AB,0.18652113704874107,0.21779498854457277,0.10148946977380593,0.5058055953671198,0.4941944046328802
tulu,beautiful/disgusting,base,A,0.08486334761084881,0.027767392468287192,0.015761902622130706,0.1283926427012667,0.8716073572987333
tulu,beautiful/disgusting,base,B,0.013252192422037066,0.1533920743171651,0.018473917758772253,0.1851181844979744,0.8148818155020257
tulu,beautiful/disgusting,base,AB,0.12278879644605838,0.038082676769442186,0.01490090119571765,0.1757723744112182,0.8242276255887818
tulu,beautiful/disgusting,sft,A,0.047150987375096085,0.01492379685974255,0.012259711921350728,0.07433449615618937,0.9256655038438106
tulu,beautiful/disgusting,sft,B,0.007665861052130254,0.20295320994343202,0.016725439919490576,0.22734451091505284,0.7726554890849472
tulu,beautiful/disgusting,sft,AB,0.10153763380256452,0.03183522187165789,0.010681552346056607,0.14405440802027902,0.855945591979721
tulu,beautiful/disgusting,dpo,A,0.0374828650195764,0.012283841108826162,0.008294320354378836,0.0580610264827814,0.9419389735172186
tulu,beautiful/disgusting,dpo,B,0.004175873989301164,0.29132738804651864,0.012769492563202601,0.30827275459902237,0.6917272454009776
tulu,beautiful/disgusting,dpo,AB,0.1326728378414419,0.03172673619766094,0.007851283630362053,0.1722508576694649,0.8277491423305351
tulu,beautiful/disgusting,rlvr,A,0.035014916566861766,0.012095652611889711,0.008565010670675362,0.05567557984942684,0.9443244201505732
tulu,beautiful/disgusting,rlvr,B,0.004259951956634021,0.2873217129667061,0.012726692727500873,0.304308357650841,0.695691642349159
tulu,beautiful/disgusting,rlvr,AB,0.12083524526739756,0.03208595308617484,0.00793907710710008,0.16086027546067247,0.8391397245393275
tulu,obey/rebel,base,A,0.3701703215873002,0.010716182452531847,0.1281149120127258,0.5090014160525578,0.4909985839474422
tulu,obey/rebel,base,B,0.18165508601234248,0.1016144144612678,0.1608285849140034,0.44409808538761364,0.5559019146123864
tulu,obey/rebel,base,AB,0.2514095466392202,0.06706932206609835,0.1772250871508639,0.49570395585618243,0.5042960441438176
tulu,obey/rebel,sft,A,0.43152679317437903,0.012072823166140249,0.12992250432248073,0.573522120663,0.426477879337
tulu,obey/rebel,sft,B,0.14802514517460666,0.17526379600457642,0.14314491248783223,0.4664338536670153,0.5335661463329847
tulu,obey/rebel,sft,AB,0.22323671641732273,0.09639595968878295,0.16423502324824743,0.48386769935435314,0.5161323006456469
tulu,obey/rebel,dpo,A,0.5325740811745547,0.007468071985579213,0.08121321526783011,0.621255368427964,0.378744631572036
