family,direction,category,position,mean_resist,std_resist,n
qwen3,forward,institutional,2,0.45463663020367107,1.118961896866191,4800
qwen3,forward,institutional,3,0.32675087705383166,1.0268574064132328,4800
qwen3,forward,institutional,4,0.5165438939359531,1.154611128860377,4800
qwen3,forward,institutional,5,0.4037640800016787,1.1345534700976583,4800
qwen3,forward,institutional,6,0.37652012662080303,1.063392346227437,4800
qwen3,forward,institutional,7,0.3901535443290325,1.0885766170792277,4800
qwen3,forward,institutional,8,0.3399985776792003,1.150160477892379,4800
qwen3,forward,institutional,9,0.3598183946534072,1.147755720840656,4799
qwen3,forward,institutional,10,0.34542151096551826,1.1258581890079855,4339
stablelm,reverse,profanity,0,1.1866885501215558,0.8218664450799514,1000
stablelm,reverse,profanity,1,0.8062123202272801,0.8724699929948764,1000
stablelm,reverse,profanity,2,1.035213142569456,0.8614239580425733,1000
stablelm,reverse,profanity,3,1.0320545783344943,1.2994718464710369,1000
stablelm,reverse,profanity,4,0.983377578053825,1.5935991406292973,1000
stablelm,reverse,profanity,5,1.1909302731517597,1.4291905551097939,1000
stablelm,reverse,profanity,6,0.785946209054681,1.1807433217263905,1000
stablelm,reverse,profanity,7,0.9200505378471778,1.2068946233642162,1000
stablelm,reverse,profanity,8,1.1055825204438279,1.8065396866431767,1000
stablelm,reverse,profanity,9,1.0345555775172706,2.234658936660751,1000
qwen-tiny,forward,institutional,0,-0.016699943600567146,1.1184348815302487,4800
qwen-tiny,forward,institutional,1,0.24452334525547745,1.5440694959767625,4800
qwen-tiny,forward,institutional,2,0.1905182781111122,0.7704371757651641,4800
qwen-tiny,forward,institutional,3,0.09143258980909896,0.5377940825478447,4800
qwen-tiny,forward,institutional,4,0.1272999429034187,0.5156358353834685,4800
qwen-tiny,forward,institutional,5,0.13266852199592316,0.5905563723733253,4800
qwen-tiny,forward,institutional,6,0.11548916256222562,0.5017347566431584,4800
qwen-tiny,forward,institutional,7,0.1670644155892009,0.7226332519683404,4800
qwen-tiny,forward,institutional,8,0.28985223660048914,1.6814450710065472,4800
qwen-tiny,forward,institutional,9,0.2338159515515572,1.3890622674401918,4800
qwen-tiny,forward,institutional,10,0.2016636988325826,0.9430106688981806,4516
zephyr,forward,violence_explicit,0,0.20894755862007944,0.6454033776791384,12500
zephyr,forward,violence_explicit,1,0.06493006101384735,0.32930560629964817,12500
zephyr,forward,violence_explicit,2,0.16107930955757496,0.7958568393340517,12500
zephyr,forward,violence_explicit,3,0.34886524499088434,1.350973654266583,12500
zephyr,forward,violence_explicit,4,0.29862137101461633,1.0220219229537328,12500
zephyr,forward,violence_explicit,5,0.3124021123527359,1.0232307675682455,12500
zephyr,forward,violence_explicit,6,0.18506219259572615,0.7048967517704248,12500
zephyr,forward,violence_explicit,7,0.17693352600214354,0.6767155775592026,12500
zephyr,forward,violence_explicit,8,0.1646841377784699,0.6670622153708067,12500
zephyr,forward,violence_explicit,9,0.163353076313798,0.691694356034948,12500
olmo-think,reverse,institutional,0,1.985268464911324,2.311771180335949,4800
olmo-think,reverse,institutional,1,1.5215794533558546,2.4078393087971146,4800
olmo-think,reverse,institutional,2,0.7533331349126804,1.1869167191950347,4800
olmo-think,reverse,institutional,3,0.6079718729215287,1.08534830418671,4800
olmo-think,reverse,institutional,4,0.4799201520385802,1.008785846458518,4800
olmo-think,reverse,institutional,5,0.6302145461436999,1.1223997073310261,4800
olmo-think,reverse,institutional,6,0.6473208277669544,1.3625968482944668,4800
olmo-think,reverse,institutional,7,0.5501755409013418,1.2655314663426938,4800
olmo-think,reverse,institutional,8,0.5530083906700693,1.2220198045596231,4800
olmo-think,reverse,institutional,9,0.5774084230693715,1.229773956231234,4800
pythia,forward,violence_explicit,0,0.07686038210137157,0.5332731063630645,3500
pythia,forward,violence_explicit,1,0.055779028494941915,0.40085563000021784,3500
pythia,forward,violence_explicit,2,0.01597065323981703,0.15741321548648646,3500
pythia,forward,violence_explicit,3,0.008442118252892447,0.3100667480543235,3500
pythia,forward,violence_explicit,4,0.032777932802295046,0.30762023800403737,3500
pythia,forward,violence_explicit,5,0.01307919950991726,0.15649480056505755,3500
pythia,forward,violence_explicit,6,0.015793178679494903,0.1629135138337915,3498
pythia,forward,violence_explicit,7,0.017536060770873427,0.2380269346478266,3493
pythia,forward,violence_explicit,8,0.01753156618742099,0.1943562596731724,3485
pythia,forward,violence_explicit,9,0.019789769170363593,0.20952707400975995,3472
pythia,forward,violence_explicit,10,0.026511730170814242,0.2521097516778671,3388
zephyr,forward,substance,0,0.3097334477443324,0.7107382786528171,12500
zephyr,forward,substance,1,0.1005406419351218,0.3998920877186768,12500
zephyr,forward,substance,2,0.11177418234420257,0.37871579056582744,12500
zephyr,forward,substance,3,0.11015141382167752,0.43839540727443854,12500
zephyr,forward,substance,4,0.11390379032340238,0.4325222620045258,12500
zephyr,forward,substance,5,0.12416102592962501,0.4682302689277319,12500
zephyr,forward,substance,6,0.16408092985857206,0.5372933804685905,12500
zephyr,forward,substance,7,0.17157084958261254,0.5149881505183617,12500
zephyr,forward,substance,8,0.17629332749694354,0.5502392876425399,12500
zephyr,forward,substance,9,0.15175230063203415,0.5757286543987401,12488
qwen,reverse,power,0,0.988899560478993,1.7134594621842918,500
qwen,reverse,power,1,0.3005944718460325,0.5610159296101679,500
qwen,reverse,power,2,0.34002963301943834,0.5931016737281213,500
qwen,reverse,power,3,0.31297588277670346,0.7130473066816582,500
qwen,reverse,power,4,0.4812796657462651,1.195411064065058,500
qwen,reverse,power,5,0.4936093916200781,1.0485666914121987,500
