stage,prompt_key,side,layer,mean_entropy
base,institutional_housing_tenant_1,individual,2,0.9942726045846939
base,institutional_housing_tenant_1,individual,3,1.2619203301146626
base,institutional_housing_tenant_1,individual,4,0.8134295158088207
base,institutional_housing_tenant_1,individual,5,0.9573836672352627
base,institutional_housing_tenant_1,individual,6,1.1008428626228124
base,institutional_housing_tenant_1,individual,7,1.2971086647594348
base,institutional_housing_tenant_1,individual,8,1.1160045749275014
base,institutional_housing_tenant_1,individual,9,1.1684513337677345
base,institutional_housing_tenant_1,individual,10,1.1721373868640512
base,institutional_housing_tenant_1,individual,11,1.623442008625716
base,institutional_housing_tenant_1,individual,12,1.1347027437295765
base,institutional_housing_tenant_1,individual,13,0.9967106815893203
base,institutional_housing_tenant_1,individual,14,1.1795011726208031
base,institutional_housing_tenant_1,individual,15,1.6163364872336388
base,institutional_housing_tenant_1,individual,16,1.1462489019613713
base,institutional_housing_tenant_1,individual,17,1.1986033841967583
base,institutional_housing_tenant_1,individual,18,1.0470238951966166
base,institutional_housing_tenant_1,individual,19,1.365930168889463
base,institutional_housing_tenant_1,individual,20,0.5933910317253321
base,institutional_housing_tenant_1,individual,21,0.6631473858142272
base,institutional_housing_tenant_1,individual,22,0.5639036551583558
base,institutional_housing_tenant_1,individual,23,0.8323771022260189
base,institutional_housing_tenant_1,individual,24,0.4943524587433785
base,institutional_housing_tenant_1,individual,25,0.5523776572663337
base,institutional_housing_tenant_1,individual,26,0.33044025721028447
base,institutional_housing_tenant_1,individual,27,0.8019450227729976
base,institutional_housing_tenant_1,individual,28,0.4039061049115844
base,institutional_housing_tenant_1,individual,29,0.6193944797851145
base,institutional_housing_tenant_1,individual,30,0.3834534678608179
base,institutional_housing_tenant_1,individual,31,0.8297715545631945
base,institutional_housing_landlord_1,institution,0,1.6530884815147147
base,institutional_housing_landlord_1,institution,1,1.2119895466603339
base,institutional_housing_landlord_1,institution,2,0.9092537313699722
base,institutional_housing_landlord_1,institution,3,1.0369339818134904
base,institutional_housing_landlord_1,institution,4,0.7542790347943082
base,institutional_housing_landlord_1,institution,5,0.856369589921087
base,institutional_housing_landlord_1,institution,6,0.9851501599187031
base,institutional_housing_landlord_1,institution,7,1.2032103845849633
base,institutional_housing_landlord_1,institution,8,0.9609336941794027
base,institutional_housing_landlord_1,institution,9,1.0074974270246457
base,institutional_housing_landlord_1,institution,10,0.9471510616131127
base,institutional_housing_landlord_1,institution,11,1.3416108838282526
base,institutional_housing_landlord_1,institution,12,0.9444143165601417
base,institutional_housing_landlord_1,institution,13,0.7796812644228339
base,institutional_housing_landlord_1,institution,14,1.0517229121178389
base,institutional_housing_landlord_1,institution,15,1.3095702659338713
base,institutional_housing_landlord_1,institution,16,1.0291503751650453
base,institutional_housing_landlord_1,institution,17,0.876054415712133
base,institutional_housing_landlord_1,institution,18,0.8097346117720008
base,institutional_housing_landlord_1,institution,19,1.1294220881536603
base,institutional_housing_landlord_1,institution,20,0.5535810624714941
base,institutional_housing_landlord_1,institution,21,0.6438210145570338
base,institutional_housing_landlord_1,institution,22,0.5396550938021392
base,institutional_housing_landlord_1,institution,23,0.7303810827434063
base,institutional_housing_landlord_1,institution,24,0.48441148817073554
base,institutional_housing_landlord_1,institution,25,0.4834466198226437
base,institutional_housing_landlord_1,institution,26,0.3786495429230854
base,institutional_housing_landlord_1,institution,27,0.8152370695024729
base,institutional_housing_landlord_1,institution,28,0.4346702772891149
base,institutional_housing_landlord_1,institution,29,0.7322706175036728
base,institutional_housing_landlord_1,institution,30,0.427679491462186
base,institutional_housing_landlord_1,institution,31,0.82877257745713
base,institutional_housing_tenant_2,individual,0,2.0394979496486485
base,institutional_housing_tenant_2,individual,1,1.5700466120615602
base,institutional_housing_tenant_2,individual,2,1.0709810350090265
base,institutional_housing_tenant_2,individual,3,1.2133358996361494
base,institutional_housing_tenant_2,individual,4,0.8360531283542514
base,institutional_housing_tenant_2,individual,5,1.0229930541827343
base,institutional_housing_tenant_2,individual,6,1.2098515190882608
base,institutional_housing_tenant_2,individual,7,1.3486047433689237
base,institutional_housing_tenant_2,individual,8,1.1305737188085914
base,institutional_housing_tenant_2,individual,9,1.1433849871973507
base,institutional_housing_tenant_2,individual,10,1.1118611710844561
base,institutional_housing_tenant_2,individual,11,1.6746491370722651
base,institutional_housing_tenant_2,individual,12,1.1023019618587568
base,institutional_housing_tenant_2,individual,13,0.8155690206913278
base,institutional_housing_tenant_2,individual,14,1.1002787868492305
base,institutional_housing_tenant_2,individual,15,1.4398858305066824
base,institutional_housing_tenant_2,individual,16,1.047858085250482
base,institutional_housing_tenant_2,individual,17,1.0502619759645313
base,institutional_housing_tenant_2,individual,18,0.9199345507659018
base,institutional_housing_tenant_2,individual,19,1.2919169384986162
base,institutional_housing_tenant_2,individual,20,0.5159306440036744
base,institutional_housing_tenant_2,individual,21,0.6169782604556531
base,institutional_housing_tenant_2,individual,22,0.5221975779859349
base,institutional_housing_tenant_2,individual,23,0.8443507803604007
base,institutional_housing_tenant_2,individual,24,0.5343498268630356
base,institutional_housing_tenant_2,individual,25,0.5912784547545016
base,institutional_housing_tenant_2,individual,26,0.37436211080057546
base,institutional_housing_tenant_2,individual,27,0.8729408336803317
base,institutional_housing_tenant_2,individual,28,0.4453607276082039
base,institutional_housing_tenant_2,individual,29,0.7007343887817115
base,institutional_housing_tenant_2,individual,30,0.5073685136158019
base,institutional_housing_tenant_2,individual,31,0.9738808330148458
base,institutional_housing_landlord_2,institution,0,1.6752735918853432
base,institutional_housing_landlord_2,institution,1,1.0973833019379526
base,institutional_housing_landlord_2,institution,2,0.7588672232814133
base,institutional_housing_landlord_2,institution,3,1.6609070301055908
base,institutional_housing_landlord_2,institution,4,1.383404723368585
base,institutional_housing_landlord_2,institution,5,1.2854619498830289
base,institutional_housing_landlord_2,institution,6,1.305288060568273
base,institutional_housing_landlord_2,institution,7,1.4064704230986536
base,institutional_housing_landlord_2,institution,8,1.077951439874596
base,institutional_housing_landlord_2,institution,9,1.160718182916753
base,institutional_housing_landlord_2,institution,10,1.0693829271476716
base,institutional_housing_landlord_2,institution,11,1.4242505943402648
base,institutional_housing_landlord_2,institution,12,1.000927763641812
base,institutional_housing_landlord_2,institution,13,0.8188376708421856
base,institutional_housing_landlord_2,institution,14,0.9761909879744053
base,institutional_housing_landlord_2,institution,15,1.297428360208869
base,institutional_housing_landlord_2,institution,16,0.9586372501216829
base,institutional_housing_landlord_2,institution,17,0.9735766034573317
base,institutional_housing_landlord_2,institution,18,0.9636366991326213
base,institutional_housing_landlord_2,institution,19,1.187279443256557
base,institutional_housing_landlord_2,institution,20,0.5469650845043361
base,institutional_housing_landlord_2,institution,21,0.6549268579110503
base,institutional_housing_landlord_2,institution,22,0.6820826029870659
base,institutional_housing_landlord_2,institution,23,0.8329962436109781
base,institutional_housing_landlord_2,institution,24,0.5270923224743456
base,institutional_housing_landlord_2,institution,25,0.666858208598569
base,institutional_housing_landlord_2,institution,26,0.38834295829292387
base,institutional_housing_landlord_2,institution,27,0.8474291102029383
base,institutional_housing_landlord_2,institution,28,0.4441437133355066
base,institutional_housing_landlord_2,institution,29,0.6792159589240327
base,institutional_housing_landlord_2,institution,30,0.4509844788117334
base,institutional_housing_landlord_2,institution,31,0.9059998709708452
base,institutional_medical_patient_1,individual,0,2.125829248689115
base,institutional_medical_patient_1,individual,1,1.5566884544678032
base,institutional_medical_patient_1,individual,2,1.2377090193331242
base,institutional_medical_patient_1,individual,3,1.3726364020258188
base,institutional_medical_patient_1,individual,4,0.9997835964895785
base,institutional_medical_patient_1,individual,5,1.1189380674622953
base,institutional_medical_patient_1,individual,6,1.3000494702719152
base,institutional_medical_patient_1,individual,7,1.466844481881708
base,institutional_medical_patient_1,individual,8,1.1843188762431964
base,institutional_medical_patient_1,individual,9,1.2816782002337277
base,institutional_medical_patient_1,individual,10,1.3253940490540117
base,institutional_medical_patient_1,individual,11,1.8018846451304853
base,institutional_medical_patient_1,individual,12,1.2446992392651737
base,institutional_medical_patient_1,individual,13,1.0869572551455349
base,institutional_medical_patient_1,individual,14,1.2410067589953542
base,institutional_medical_patient_1,individual,15,1.623214915394783
base,institutional_medical_patient_1,individual,16,1.320244699716568
base,institutional_medical_patient_1,individual,17,1.0910952808335423
base,institutional_medical_patient_1,individual,18,1.1376902624033391
base,institutional_medical_patient_1,individual,19,1.4827179117128253
base,institutional_medical_patient_1,individual,20,0.8503629774786532
base,institutional_medical_patient_1,individual,21,0.8500905283726752
base,institutional_medical_patient_1,individual,22,0.7692640423774719
base,institutional_medical_patient_1,individual,23,0.9566152123734355
base,institutional_medical_patient_1,individual,24,0.7108070831745863
base,institutional_medical_patient_1,individual,25,0.7081834664568305
base,institutional_medical_patient_1,individual,26,0.5477412820328027
base,institutional_medical_patient_1,individual,27,0.8967933505773544
base,institutional_medical_patient_1,individual,28,0.5328841260634363
base,institutional_medical_patient_1,individual,29,0.7126791244372725
base,institutional_medical_patient_1,individual,30,0.6106095025315881
base,institutional_medical_patient_1,individual,31,1.0145573606714606
base,institutional_medical_doctor_1,institution,0,1.7989358269842342
base,institutional_medical_doctor_1,institution,1,1.2891819647047669
