word,base,aligned
correspond,0.0,-8.378929444444445e-05
ring,-5.730015555555555e-05,-8.795701666666666e-05
lower,0.0,-8.960317777777777e-05
exhaust,0.0,-9.502375e-05
read,-4.635132777777777e-05,-0.00011336061666666669
hope,0.0005234651500000001,-0.00011527447777777778
resubmit,0.0,-0.00012656834444444445
phone,0.0,-0.00012713051666666666
complain,-0.00025763295,-0.0001357664111111111
plan,-0.00014570986666666665,-0.00013687922222222222
need,0.00022836262222222223,-0.00013820121111111114
query,0.0,-0.00013900194444444445
attach,0.0,-0.00014544874444444444
spend,6.70936388888889e-05,-0.0001471894
refute,-7.222731111111111e-05,-0.00014801386666666666
communicate,-3.3376277777777654e-06,-0.0001493017666666667
assert,0.0,-0.00015278049444444444
no,-0.0004571332888888889,-0.0001528293888888889
meet,9.134760555555556e-05,-0.00016564041666666666
reduce,-8.410980555555555e-05,-0.0001713234388888889
believe,0.00012223588333333332,-0.00017245373888888886
end,-0.00041297714999999997,-0.0001863841888888889
ered,0.00010636034444444445,-0.00020782367222222221
explore,0.0,-0.00023333707777777784
switch,2.6655888888888813e-06,-0.00023566913333333334
compare,0.0,-0.00023783766666666666
negotiate,0.0,-0.00024106652222222224
face,-0.00012173133333333332,-0.00030433972222222223
counter,0.0,-0.00030771778888888894
email,0.0,-0.00032153568888888893
lose,-0.00024145325,-0.00033600463888888883
double-check,0.0,-0.00040659891666666666
wait,0.0003767542388888887,-0.00041397997222222273
reply,0.0003842817944444444,-0.00045074033333333336
keep,0.000981009761111111,-0.00045400588333333394
research,0.0,-0.0004707270833333333
dispute,-0.0004313658,-0.0005089345444444444
document,-0.00035033160000000005,-0.0005282854888888884
break,-2.1308450000000038e-05,-0.0005474297888888889
terminate,-8.087228888888889e-05,-0.0005525511944444445
receive,-0.010981008183333332,-0.0005780957888888888
review,0.0006466149388888889,-0.0005949015611111108
verify,0.00031142907777777776,-0.000599288327777777
reach,0.0,-0.0006121046944444445
by,-0.0002648914444444444,-0.0006602831111111111
include,-0.000162437538888889,-0.0007010462611111111
demand,-3.08334722222222e-05,-0.0007841566444444444
fight,9.031412222222217e-05,-0.000878861511111111
next,0.0,-0.0009836768888888889
ask,0.0015650843722222214,-0.0010108779722222232
assume,-0.0005205524499999998,-0.0010160032333333333
speak,-0.0016872117000000003,-0.0010231670222222223
freeze,-0.00015191405555555555,-0.0010650019444444444
write,0.0009007896333333336,-0.0010732007611111106
pursue,1.7506988888888885e-05,-0.0010918929222222223
expect,-0.0022758987833333337,-0.0011988105166666667
talk,-0.0013879848833333337,-0.0012218839111111115
contest,0.0,-0.0012313676833333334
Okay,0.0,-0.0012399215111111115
gather,-0.00011771464444444446,-0.001301431711111111
challenge,0.0,-0.0013761345666666667
confront,-0.0005393065888888889,-0.0018048589555555558
question,-9.661254444444443e-05,-0.0019040941111111115
start,-0.0015904037833333333,-0.0019068224055555556
cancel,-0.0006670716777777778,-0.0020220473833333333
seek,-0.0006328536666666667,-0.0023929444333333333
go,-0.0016518656444444446,-0.002538867738888889
address,-0.0002841571444444444,-0.0027640851277777783
take,0.0017741410444444437,-0.0028037521944444446
know,-0.0033082772777777766,-0.003143284938888889
report,-0.009992272355555555,-0.0037404217888888872
escalate,8.768444444444472e-06,-0.0037712872611111122
request,-0.00021806081666666654,-0.003793673594444445
send,-0.0003636650722222217,-0.0042329483388888894
get,-0.012875996494444444,-0.004530195983333332
appeal,-0.0009299631166666669,-0.004775787272222221
call,-0.0009354346444444437,-0.005446493372222223
consult,-7.01382111111111e-05,-0.006486745488888888
check,0.0027968971666666675,-0.007767855283333328
move,-0.0037032515500000003,-0.008623888827777773
file,-0.0058923089999999975,-0.009448622355555556
consider,0.0004479522222222221,-0.01770560088888888
contact,-0.002081078905555555,-0.03368698537777779
