stratum,word,n_lineages,median_delta,lineages_pos,lineages_tested,p,plan_b_word
animal_unmarked,neck,45,-0.0013439506,12,45,0.0024589003,False
animal_unmarked,chuckled,45,0.0011180358,31,45,0.01609436,False
animal_unmarked,grinned,45,0.0008154826,26,45,0.37129803,False
animal_unmarked,groaned,40,0.00011058548,22,40,0.635828,False
animal_unmarked,gr,41,-6.768331e-08,13,41,0.027533156,False
animal_unmarked,commanded,42,-0.00063985078,16,42,0.1641494,False
animal_unmarked,belly,40,-0.00066829665,16,40,0.26818725,False
animal_unmarked,g,42,-3.4829795e-07,12,42,0.0079158973,False
animal_unmarked,received,46,0.00098628022,31,46,0.025896082,False
animal_unmarked,narrowly,46,0.00093694075,34,46,0.0016414913,False
animal_unmarked,broke,46,-0.0011320944,15,46,0.025896082,False
animal_unmarked,accidentally,46,0.0012079579,36,46,0.00015641721,False
animal_unmarked,landed,46,-0.00038982317,18,46,0.18392482,False
animal_unmarked,screamed,46,-0.0004412981,16,46,0.054076032,False
animal_unmarked,punched,45,-0.0012859773,14,45,0.01609436,False
animal_unmarked,barked,46,0.00016431605,24,46,0.88299591,False
animal_unmarked,scored,42,6.291295e-05,23,42,0.64396896,False
animal_unmarked,smashed,45,-0.0014590795,5,45,7.8783842e-08,False
animal_unmarked,nearly,46,-0.00079813895,17,46,0.10380536,False
animal_unmarked,dug,43,-0.0010390786,10,43,0.00060610663,False
animal_unmarked,jerked,44,-0.0016290062,7,44,5.2995817e-06,False
animal_unmarked,avoided,46,0.0010575997,31,46,0.025896082,False
animal_unmarked,n,43,-4.3148481e-07,15,43,0.065994034,False
animal_unmarked,grunted,42,-0.00060790825,14,42,0.043558522,False
animal_unmarked,attempted,46,1.87105e-06,23,46,1,False
animal_unmarked,glanced,46,-0.00034033943,20,46,0.46139118,False
animal_unmarked,snorted,45,-0.0011372863,19,45,0.37129803,False
animal_unmarked,winced,41,0.0005814335,23,41,0.53270926,False
animal_unmarked,whinnied,42,-0.0014457257,14,42,0.043558522,False
animal_unmarked,gasped,44,8.264585e-05,23,44,0.88039582,False
