category,delta,edges_pos,n_edges,lo,hi,mde,p,bonferroni,labeling,cell,coverage,scen,pov,context
X2.1,0.016012588451195874,35,41,-0.033715002828174065,0.06574017973056581,0.07103941611338563,0.5315443326298266,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X2.2,-0.008459759714079433,11,41,-0.01704184026546806,0.00012232083730919115,0.012260115073412322,0.06045615973561999,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X2.4,0.01518129182968061,30,41,0.008770963551811103,0.021591620107550117,0.009157611825527866,3.6795399604847594e-05,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X2.5,0.003335485352472821,16,41,-0.0005351911043731065,0.007206161809318748,0.005529537795494182,0.09900237914827746,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X2.6,-0.021862848662124616,6,41,-0.0326141209425453,-0.01111157638170393,0.015358960400600979,0.00027762158316619733,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X3.2,-0.011339559757092126,2,41,-0.019524358438541438,-0.003154761075642812,0.011692569544927593,0.00972445845014321,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X3.4,-0.003117890648842229,8,41,-0.008346254352142216,0.0021104730544577585,0.007469091004714268,0.24939105689545477,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X4.1,0.0006112912633826804,7,41,-0.003311896578807568,0.004534479105572928,0.005604554060271783,0.7616472451719271,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X5.1,-0.0026186689851461845,3,41,-0.008704570296332996,0.0034672323260406274,0.008694144730266874,0.40404368495931614,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X7,0.010036779696002016,28,41,0.0001993117650515297,0.0198742476269525,0.01405352561564355,0.05235488171760644,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X8,0.005175191374397387,17,41,-0.0009647572915498339,0.011315140040344607,0.008771355237067457,0.1063584850045222,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
X9.2,0.0005295903116147014,3,41,-0.0007869117665200332,0.001846092389749436,0.001880717254478192,0.4350812277897573,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
Z1m,0.0001738246648794689,7,41,-0.003128000626171212,0.003475649955930149,0.004716893272929543,0.9183323418455468,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
