cell,usas,mean_excess,n_pairs,n_obs_used,p
UNMARKED,B3,0.1692596300247519,28,5264,0.08566692646594314
UNMARKED,E3,0.1690020624316601,28,18108,0.01134386704608426
UNMARKED,F4,0.16466437254165248,28,8648,6.876051868697334e-05
UNMARKED,K1,0.16081710269403443,28,5224,0.0066907904701201705
UNMARKED,A13.3,0.15998251648613748,28,2474,0.12516141265634126
UNMARKED,E4.1,0.15740749571234064,28,9242,0.21573465042658602
UNMARKED,A7,0.15259237098665887,28,45858,0.0003922563465316115
UNMARKED,I3.2,0.14738469000062657,22,560,0.43782994859530683
UNMARKED,H1,0.14538802013944824,28,2992,0.051037959551678315
UNMARKED,N3.4,0.14444889440180925,21,514,0.4301536356073589
UNMARKED,A9,0.14347436487902776,28,162189,0.03481971136627387
UNMARKED,A13.4,0.1428259867279746,28,10961,0.0006568966465716732
UNMARKED,L2mfn,0.14073844929429632,28,7734,0.09265991818558732
UNMARKED,O4.4,0.13719781575919565,28,5675,0.08453003457664279
UNMARKED,O3,0.13629816330532005,28,1081,0.345087678455271
UNMARKED,Q1.3,0.13417124072308256,28,3215,0.043094475674242336
UNMARKED,S9,0.13017725989419437,29,10721,0.04097270135554278
UNMARKED,E6,0.12591455474513438,28,5189,0.07049201351251899
UNMARKED,X7,0.123923644756864,28,36587,0.0005675537762086313
UNMARKED,S4f,0.12270252638524694,28,2867,0.3532055351755521
UNMARKED,N5.2,0.12193520257109045,29,8288,0.004374164333847819
UNMARKED,A8,0.12086564544224822,28,19958,0.027972838314245477
UNMARKED,I1.2,0.11783993190315846,28,11413,0.002678737301997776
UNMARKED,S3.2,0.11515116347875358,28,35731,0.0007934968385207219
UNMARKED,L2fn,0.11469304448640764,10,152,0.39250058207137045
UNMARKED,S1.2.4,0.1137461352856731,31,3873,0.2716092473352868
UNMARKED,S7.1,0.11303502305410293,28,24865,0.01059800568824211
UNMARKED,H5,0.11110420407146251,28,3780,0.13081318267822117
UNMARKED,Q4c,0.11037337288636782,25,2119,0.020779143462135777
UNMARKED,X8,0.11026485312239075,28,4891,0.14900074841925884
UNMARKED,H2,0.10697782688491063,28,18101,0.17840302370267408
UNMARKED,X9.1,0.10666488378325492,28,9318,0.009543539482587198
UNMARKED,A3,0.10152763968851393,29,121468,0.007670355843656347
UNMARKED,W1,0.09425809700121114,21,509,0.3985018156971436
