word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
感到	verb	0.6021	0.5882	34	0.007556	0.008169
跳	verb	0.6021	0.6263	26	0.000448	0.000599
变成	verb	0.6021	0.4810	32	0.000819	0.001062
紧张	verb	0.6021	0.5606	23	0.000231	0.000319
愿意	verb	0.6003	0.5571	30	0.000271	0.000251
抗议	verb	0.6003	0.5294	24	0.000341	0.000453
回答	verb	0.5986	0.5519	32	0.000485	0.000555
衣服	noun	0.5986	0.6055	34	0.000780	0.000847
接受	verb	0.5986	0.6021	33	0.002821	0.003582
温柔	verb	0.5986	0.4360	22	0.000361	0.000710
镇压	verb	0.5986	0.5225	23	0.000171	0.000167
不适	verb	0.5986	0.5727	24	0.000319	0.000393
火场	noun	0.5969	0.5000	26	0.000214	0.000190
帮忙	verb	0.5969	0.5433	24	0.000254	0.000322
空气	noun	0.5969	0.4948	24	0.000240	0.000460
额头	noun	0.5952	0.6436	33	0.000645	0.000822
搜索	verb	0.5952	0.5502	23	0.000184	0.000219
断裂	noun	0.5952	0.6471	29	0.000242	0.000237
来自	verb	0.5952	0.6194	21	0.000171	0.000180
倒	adverb	0.5952	0.5017	27	0.000212	0.000178
满满	adverb	0.5952	0.5121	22	0.000301	0.000348
了解	verb	0.5952	0.5986	33	0.001555	0.002811
摧毁	verb	0.5952	0.4602	31	0.001063	0.001228
城市	noun	0.5952	0.5502	24	0.000210	0.000254
一边	adverb	0.5952	0.5398	22	0.000398	0.000651
购买	verb	0.5934	0.6332	26	0.000308	0.000308
尖叫	verb	0.5934	0.4637	28	0.000816	0.001020
一块	adverb	0.5917	0.5709	27	0.000463	0.000502
向	verb	0.5917	0.5813	33	0.000895	0.001016
说话	verb	0.5917	0.6678	34	0.000852	0.000948
血液	noun	0.5917	0.5173	24	0.000288	0.000360
举行	verb	0.5917	0.4844	21	0.000156	0.000179
一样	verb	0.5882	0.6090	21	0.000157	0.000203
切	verb	0.5882	0.6021	29	0.000616	0.000736
驱散	verb	0.5882	0.5052	21	0.000155	0.000147
成为	verb	0.5882	0.5052	34	0.007403	0.008714
联系	verb	0.5882	0.5087	26	0.000816	0.001086
痛打	verb	0.5882	0.5744	22	0.000170	0.000211
起身	verb	0.5865	0.6194	24	0.000404	0.000511
疼痛	verb	0.5865	0.6384	32	0.000924	0.000979
遥远	verb	0.5865	0.5138	22	0.000239	0.000282
嘴里	noun	0.5865	0.5035	32	0.000665	0.000649
悲伤	verb	0.5865	0.6194	20	0.000157	0.000150
发射	verb	0.5848	0.6367	23	0.000354	0.000489
后面	noun	0.5848	0.4602	21	0.000170	0.000165
历史	noun	0.5848	0.4533	28	0.000469	0.000495
鼻	noun	0.5848	0.5606	27	0.000473	0.000560
正在	adverb	0.5848	0.5363	34	0.000631	0.000690
创建	verb	0.5848	0.5329	21	0.000313	0.000327
真的	adverb	0.5848	0.4187	32	0.000427	0.000433
腰	noun	0.5848	0.4983	31	0.000900	0.000910
离世	verb	0.5848	0.4291	25	0.000213	0.000214
思考	verb	0.5848	0.6228	33	0.003756	0.004168
倒进	verb	0.5848	0.5744	22	0.000310	0.000313
放松	verb	0.5848	0.5571	23	0.000186	0.000243
碎裂	noun	0.5848	0.4567	25	0.000239	0.000270
惊喜	noun	0.5830	0.5675	28	0.000227	0.000232
逃走	verb	0.5813	0.4187	28	0.000467	0.000463
古代	noun	0.5813	0.5381	30	0.000467	0.000490
逮捕	verb	0.5813	0.5087	27	0.000255	0.000237
墓碑	noun	0.5813	0.5709	29	0.000227	0.000193
随时	adverb	0.5796	0.5052	20	0.000269	0.000511
怎么样	adverb	0.5796	0.5208	30	0.001706	0.002307
做好	verb	0.5779	0.5744	29	0.000297	0.000308
认为	verb	0.5779	0.4913	25	0.000618	0.000522
这么	adverb	0.5779	0.4360	25	0.000429	0.000389
地上	noun	0.5779	0.4377	20	0.000285	0.000346
怎么	adverb	0.5779	0.4810	33	0.006034	0.006431
着手	verb	0.5779	0.4948	21	0.000267	0.000256
按下	verb	0.5779	0.4360	32	0.000471	0.000718
发现	verb	0.5779	0.5813	33	0.001484	0.001789
先	adverb	0.5779	0.5017	33	0.003713	0.004009
这样	verb	0.5779	0.5727	20	0.000842	0.001248
帮助	verb	0.5779	0.6263	34	0.002282	0.003208
帽子	noun	0.5761	0.6522	28	0.000387	0.000430
鼻孔	noun	0.5761	0.4965	32	0.000514	0.000568
火焰	noun	0.5744	0.5017	28	0.000408	0.000386
自由	noun	0.5744	0.4879	29	0.000795	0.000982
沙哑	noun	0.5744	0.5225	24	0.000184	0.000163
拳打脚踢	verb	0.5744	0.5398	22	0.000170	0.000164
栏杆	noun	0.5727	0.5000	28	0.000271	0.000254
太阳穴	noun	0.5727	0.5450	20	0.000187	0.000247
烟	noun	0.5727	0.5208	30	0.000505	0.000545
折磨	verb	0.5727	0.5709	22	0.000456	0.000412
肋骨	noun	0.5727	0.4221	30	0.000382	0.000391
门外	noun	0.5709	0.3599	21	0.000246	0.000301
伤口	noun	0.5709	0.5156	28	0.000415	0.000470
乘坐	verb	0.5709	0.5329	24	0.000199	0.000166
发出	verb	0.5709	0.5433	31	0.000641	0.000914
失去	verb	0.5709	0.4464	34	0.000932	0.001102
菜	noun	0.5709	0.4913	28	0.000256	0.000279
握住	verb	0.5709	0.5467	25	0.000456	0.000746
死亡	verb	0.5709	0.5294	34	0.001198	0.001364
空中	noun	0.5709	0.5433	33	0.000565	0.000654
下面	noun	0.5709	0.5294	33	0.000579	0.000693
紧紧	adverb	0.5709	0.5121	31	0.002049	0.002472
生殖器	noun	0.5692	0.5294	26	0.000255	0.000223
民主党	noun	0.5692	0.4723	28	0.000227	0.000178
