word	proj	n_cells
Facebook	0.717783	50
dog	0.717585	46
ruled	0.717496	7
whacked	0.717175	148
pain	0.717150	166
bike	0.716989	11
re-opening	0.716989	3
Al	0.716978	1
281	0.716839	1
dung	0.716397	2
crushed	0.716370	803
Rodney	0.716291	23
Gov	0.716269	1
hind	0.716225	28
South	0.715967	22
saddle	0.715809	1
since	0.715676	670
ban	0.715202	59
theatre	0.715031	2
gardener	0.714559	1
junk	0.714212	1
Barack	0.713988	5
blocks	0.713906	1
Il	0.713535	12
presume	0.713081	1
19	0.712867	216
loyalty	0.712513	11
creatures	0.711083	12
seven	0.710998	1
Diana	0.710829	1
puck	0.710669	1
fetch	0.710437	1
won	0.710320	543
ague	0.710227	1
twenty	0.709887	6
prick	0.709668	112
goes	0.709667	41
smack	0.709629	224
pinned	0.709577	1017
IRS	0.709519	3
she'll	0.709192	7
race	0.709084	68
350	0.708726	135
____the	0.708182	2
scratches	0.708117	7
cans	0.708041	1
headstone	0.708001	26
Как	0.707921	1
they'd	0.707375	72
freed	0.707117	67
asthma	0.706845	8
we'll	0.706547	17
Robert	0.706491	8
curses	0.706455	46
boot	0.706327	13
dying	0.706224	36
gee	0.706191	4
states	0.705977	12
daughter's	0.705656	6
driven	0.705581	9
fur	0.705177	11
City	0.704737	19
aching	0.704583	45
bush	0.704448	52
handrail	0.704378	4
Colosseum	0.704204	2
tube	0.703910	2
fed	0.703858	948
．I	0.703792	1
cables	0.703717	1
museum	0.702970	14
London	0.702961	4
claws	0.702909	2
paintings	0.702799	6
$25	0.702777	1
totals	0.702451	5
Future	0.702450	1
we've	0.702360	2
she______	0.702257	1
total	0.702147	17
cane	0.701866	1
street's	0.701414	1
facebook	0.700784	1
meanwhile	0.700759	1
<gh_stars>1	0.700520	1
attorney	0.700512	1
destination	0.700268	2
evening	0.700144	43
meat	0.700115	82
bombs	0.700085	2
slip	0.699759	134
coughing	0.699728	9
carriage	0.699691	2
Valera	0.699218	1
lids	0.699194	11
adjuster	0.699158	5
tall	0.698831	6
theater	0.698600	6
who	0.698481	207
toss	0.697483	40
party	0.697453	16
renamed	0.697386	26
<b>	0.697119	1
acre	0.696845	2
bikers	0.696739	1
to	0.696409	5854
63	0.695914	199
ache	0.695866	76
vodka	0.695436	23
ly	0.693935	27
pet	0.693745	14
throughout	0.693629	7
five	0.693470	13
palace	0.693114	3
pinch	0.692486	18
customers	0.692441	12
classmates	0.692437	3
28	0.692267	397
later	0.692218	3779
barbed	0.691630	28
wagon	0.691346	3
haunch	0.691327	15
Lord's	0.690511	4
cite	0.690372	49
antidepressants	0.690309	2
wedding	0.690027	27
beds	0.689394	1
abort	0.689359	3
gold	0.689198	14
pump	0.689147	65
ография	0.689135	1
php	0.689081	1
railing	0.688819	37
gut	0.688797	41
damn	0.688770	18
rained	0.688670	11
articles	0.688383	1
pin	0.688028	35
blasted	0.688027	74
aring	0.688006	1
Ryan	0.687591	3
dies	0.687561	1
burned	0.687429	1338
checkbook	0.686781	11
re-run	0.686652	1
To	0.686345	39
grave's	0.685670	3
with	0.685512	3570
clay	0.685317	3
undergrowth	0.684912	6
cut	0.684692	3788
firecrackers	0.684139	2
candles	0.684029	7
also	0.683929	9205
Mine	0.683794	7
doctors	0.683566	47
overthrow	0.683373	17
Paris”	0.682997	1
demotion	0.682957	1
lump	0.682739	10
antibiotics	0.682636	9
improvement	0.682420	9
Write	0.682397	7
Hadith	0.682187	7
C	0.682113	1
Alex	0.681656	73
rewrite	0.681546	48
orcs	0.681524	1
Tu	0.681440	1
rerun	0.681430	2
bid	0.681422	12
reopen	0.681252	58
butcher	0.681201	1
sting	0.681115	77
boughs	0.680547	9
kicked	0.680479	3634
civilians	0.680467	1
slaughter	0.680418	2
slapping	0.680376	22
blooms	0.680309	1
injectable	0.679714	1
despoiled	0.679582	1
bitten	0.679248	2
brow	0.679034	5
gosh	0.678925	22
shot	0.678729	2118
decanters	0.678593	1
said	0.678344	27207
cuts	0.678193	32
Student	0.678003	3
pip	0.677770	1
according	0.677470	45
shrine	0.677413	14
joint	0.677363	4
pluck	0.676743	15
