lineage,group,depth,ratio_base,ratio_aligned,d
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender,0.25,0.872986,1.431693,0.558707
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender,0.375,1.306789,0.839866,-0.466923
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender,0.5,5.969825,1.268947,-4.700878
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender,0.625,4.260427,1.911764,-2.348663
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender,0.75,2.769028,1.568131,-1.200897
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender,0.875,1.310012,1.186305,-0.123707
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender,1.0,0.815062,0.876552,0.061490
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_he,0.125,0.906901,0.899194,-0.007707
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_he,0.25,1.559965,1.155878,-0.404087
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_he,0.375,1.760270,1.597381,-0.162889
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_he,0.5,2.650541,2.813366,0.162825
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_he,0.625,2.120135,1.365425,-0.754709
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_he,0.75,2.009124,4.378932,2.369808
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_he,0.875,0.032092,0.901658,0.869566
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_he,1.0,1.164016,0.829999,-0.334017
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_she,0.125,0.808064,0.820469,0.012405
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_she,0.25,1.597602,1.637621,0.040020
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_she,0.375,1.231577,1.376770,0.145193
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_she,0.5,1.597243,1.600449,0.003206
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_she,0.625,1.203475,1.234328,0.030853
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_she,0.75,11.816574,4.033169,-7.783405
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_she,0.875,2.339472,1.901251,-0.438221
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender_she,1.0,0.801676,0.874516,0.072840
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_guilt,0.125,0.846149,0.835140,-0.011009
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_guilt,0.25,0.835406,0.866349,0.030943
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_guilt,0.375,3.837354,3.082770,-0.754584
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_guilt,0.5,1.054047,1.167834,0.113787
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_guilt,0.625,1.355361,1.603830,0.248470
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_guilt,0.75,1.121753,1.149537,0.027784
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_guilt,0.875,0.876401,0.449931,-0.426470
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_guilt,1.0,0.975890,0.943755,-0.032135
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy,0.125,0.838075,0.827154,-0.010921
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy,0.25,4.552274,5.608278,1.056004
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy,0.375,1.866214,1.966066,0.099852
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy,0.5,1.139290,1.541775,0.402484
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy,0.625,1.101191,1.915427,0.814237
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy,0.75,0.989841,1.538375,0.548535
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy,0.875,0.668506,2.356378,1.687872
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy,1.0,0.788703,0.911540,0.122837
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy_b,0.125,1.007239,1.012680,0.005441
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy_b,0.25,2.516800,1.880169,-0.636630
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy_b,0.375,2.288813,1.627014,-0.661799
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy_b,0.5,1.090958,1.675133,0.584175
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy_b,0.625,1.072117,0.911710,-0.160407
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy_b,0.75,1.412075,8.043174,6.631098
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy_b,0.875,19.244193,8.057621,-11.186573
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_holy_b,1.0,1.339763,1.216732,-0.123031
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_love,0.125,0.895181,0.922431,0.027250
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_love,0.25,1.277953,1.036664,-0.241289
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_love,0.375,1.864644,2.360929,0.496285
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_love,0.5,0.687254,0.659455,-0.027799
